game_id,p1_poker_hand,p2_poker_hand,max_variance,sum_variance
0,"(('H', 2), ('H', 5), ('C', 6), ('S', 12), ('H', 14))","(('D', 7), ('D', 8), ('D', 13), ('H', 13), ('S', 14))",0.6153846153846154,31.337278106508887
1,"(('D', 7), ('S', 8), ('S', 9), ('S', 10), ('S', 14))","(('C', 5), ('H', 6), ('S', 7), ('C', 8), ('C', 14))",0.6479289940828408,36.491124260355036
2,"(('C', 2), ('S', 8), ('S', 9), ('S', 12), ('H', 13))","(('D', 2), ('H', 2), ('H', 8), ('C', 9), ('H', 11))",0.3076923076923076,17.940828402366872
3,"(('C', 2), ('D', 5), ('C', 6), ('D', 11), ('D', 13))","(('D', 4), ('H', 6), ('H', 8), ('C', 10), ('S', 12))",0.6153846153846154,51.692307692307665
4,"(('D', 5), ('C', 5), ('D', 7), ('C', 10), ('D', 13))","(('D', 4), ('C', 9), ('S', 11), ('S', 12), ('D', 14))",0.6153846153846154,37.39644970414201
5,"(('D', 4), ('S', 10), ('H', 11), ('C', 12), ('S', 14))","(('D', 2), ('C', 4), ('H', 5), ('S', 11), ('H', 14))",0.5325443786982251,33.420118343195284
6,"(('S', 10), ('D', 12), ('S', 12), ('C', 12), ('S', 14))","(('S', 2), ('C', 4), ('C', 9), ('D', 10), ('S', 11))",0.21301775147928978,11.076923076923084
7,"(('D', 7), ('D', 8), ('C', 9), ('D', 13), ('S', 13))","(('H', 3), ('S', 4), ('H', 8), ('C', 10), ('D', 12))",0.6153846153846154,31.33727810650889
8,"(('S', 3), ('S', 4), ('S', 5), ('D', 5), ('D', 8))","(('D', 3), ('C', 3), ('S', 7), ('H', 12), ('D', 13))",0.46153846153846134,30.8165680473373
9,"(('C', 3), ('S', 9), ('C', 10), ('H', 11), ('S', 12))","(('C', 2), ('S', 4), ('C', 5), ('H', 10), ('C', 12))",0.6153846153846154,44.44970414201182
10,"(('D', 4), ('C', 8), ('S', 9), ('H', 10), ('S', 11))","(('H', 7), ('C', 10), ('D', 12), ('D', 13), ('H', 14))",0.6153846153846154,50.934911242603555
11,"(('S', 2), ('H', 7), ('D', 7), ('C', 12), ('S', 14))","(('D', 2), ('S', 8), ('D', 9), ('S', 12), ('H', 14))",0.3076923076923076,18.792899408284036
12,"(('H', 2), ('D', 4), ('S', 5), ('S', 6), ('C', 6))","(('D', 6), ('H', 6), ('H', 8), ('C', 12), ('H', 12))",0.39053254437869844,32.80473372781068
13,"(('D', 7), ('C', 9), ('C', 10), ('S', 11), ('S', 13))","(('C', 7), ('H', 8), ('C', 8), ('D', 8), ('D', 12))",0.4023668639053252,17.041420118343204
14,"(('C', 2), ('D', 6), ('H', 10), ('C', 13), ('S', 13))","(('D', 5), ('H', 6), ('H', 9), ('D', 12), ('S', 14))",0.6153846153846154,31.33727810650889
15,"(('C', 5), ('H', 11), ('C', 12), ('D', 12), ('D', 14))","(('S', 4), ('H', 5), ('C', 6), ('C', 7), ('C', 11))",0.5917159763313613,30.532544378698244
16,"(('S', 2), ('H', 3), ('H', 5), ('D', 9), ('S', 14))","(('D', 5), ('C', 5), ('D', 8), ('S', 10), ('C', 14))",0.46153846153846134,24.4260355029586
17,"(('D', 3), ('C', 3), ('H', 3), ('H', 5), ('C', 12))","(('D', 6), ('S', 6), ('S', 8), ('H', 10), ('D', 11))",0.46153846153846134,23.431952662721894
18,"(('S', 6), ('C', 9), ('H', 10), ('S', 11), ('D', 11))","(('D', 4), ('D', 10), ('C', 12), ('H', 13), ('C', 14))",0.6153846153846154,33.60946745562131
19,"(('H', 4), ('C', 5), ('C', 9), ('C', 10), ('D', 14))","(('C', 2), ('C', 3), ('D', 7), ('D', 8), ('S', 14))",0.6153846153846154,51.692307692307665
20,"(('C', 2), ('H', 5), ('H', 7), ('S', 10), ('S', 14))","(('D', 4), ('H', 6), ('H', 8), ('C', 11), ('C', 13))",0.6153846153846154,61.53846153846159
21,"(('S', 2), ('D', 8), ('C', 10), ('S', 13), ('D', 14))","(('C', 2), ('S', 3), ('H', 8), ('D', 9), ('H', 12))",0.6153846153846154,41.846153846153825
22,"(('D', 3), ('D', 6), ('D', 10), ('D', 12), ('H', 12))","(('C', 4), ('H', 8), ('S', 9), ('D', 11), ('H', 13))",0.6490384615384617,38.06952662721893
23,"(('H', 7), ('C', 9), ('S', 11), ('D', 12), ('D', 13))","(('S', 2), ('D', 6), ('S', 6), ('C', 7), ('H', 12))",0.5325443786982251,28.1656804733728
24,"(('C', 3), ('S', 3), ('H', 7), ('H', 11), ('S', 13))","(('H', 2), ('H', 3), ('D', 5), ('S', 6), ('H', 13))",0.5325443786982249,27.550295857988193
25,"(('H', 4), ('C', 5), ('H', 6), ('S', 12), ('C', 14))","(('H', 2), ('H', 10), ('D', 13), ('S', 13), ('H', 14))",0.6153846153846154,31.33727810650889
26,"(('C', 5), ('D', 8), ('S', 8), ('C', 10), ('C', 14))","(('H', 2), ('D', 5), ('S', 7), ('D', 10), ('H', 11))",0.46153846153846134,25.136094674556233
27,"(('C', 5), ('H', 7), ('H', 8), ('D', 9), ('H', 10))","(('D', 2), ('H', 2), ('S', 10), ('C', 10), ('H', 12))",0.5562130177514788,27.07692307692307
