hand_p1,hand_p2,E[p1],E[p2],emp_p1,emp_p2,VAR[p1],VAR[p2]
"(('S', 3), ('H', 10), ('C', 12), ('D', 14))","(('C', 7), ('H', 8), ('H', 9), ('H', 12))",0.0,0.0,-0.0022,0.0116,0.46153846153846134,0.46153846153846134
"(('S', 3), ('H', 3), ('C', 7), ('C', 11))","(('D', 8), ('C', 9), ('D', 10), ('C', 12))",0.5384615384615383,-0.5384615384615383,0.5517,-0.5419,0.40236686390532517,0.40236686390532517
"(('C', 7), ('S', 9), ('D', 10), ('H', 12))","(('D', 6), ('D', 7), ('S', 7), ('C', 13))",-0.7692307692307696,0.7692307692307696,-0.7726,0.7709,0.17751479289940839,0.17751479289940839
"(('H', 4), ('C', 4), ('C', 9), ('S', 13))","(('D', 4), ('S', 4), ('S', 12), ('D', 13))",0.0,0.0,-0.0052,0.0,0.15384615384615385,0.15384615384615385
"(('H', 9), ('S', 11), ('H', 13), ('S', 14))","(('C', 5), ('H', 8), ('S', 8), ('S', 13))",-0.7692307692307696,0.7692307692307696,-0.7706,0.7648,0.17751479289940836,0.17751479289940836
"(('C', 7), ('H', 8), ('D', 11), ('H', 11))","(('S', 5), ('D', 9), ('S', 10), ('C', 13))",0.6923076923076925,-0.6923076923076925,0.6962,-0.6909,0.2130177514792898,0.2130177514792898
"(('D', 5), ('S', 8), ('C', 13), ('H', 14))","(('H', 5), ('S', 10), ('H', 13), ('S', 14))",0.0,0.0,0.0016,-0.0068,0.15384615384615385,0.15384615384615385
"(('D', 2), ('S', 3), ('D', 6), ('S', 13))","(('D', 4), ('D', 11), ('S', 12), ('C', 13))",0.0,0.0,0.002,0.0028,0.46153846153846134,0.46153846153846134
"(('D', 6), ('S', 9), ('D', 11), ('H', 14))","(('C', 7), ('D', 7), ('D', 10), ('S', 12))",-0.6923076923076925,0.6923076923076925,-0.6958,0.686,0.2130177514792898,0.2130177514792898
"(('D', 3), ('D', 4), ('S', 5), ('H', 12))","(('S', 3), ('C', 5), ('D', 5), ('D', 9))",-0.8461538461538467,0.8461538461538467,-0.8429,0.8437,0.13017751479289943,0.13017751479289943
"(('C', 3), ('C', 7), ('D', 7), ('C', 12))","(('C', 4), ('H', 4), ('D', 8), ('S', 13))",0.0,0.0,-0.0014,-0.0076,0.46153846153846134,0.46153846153846134
"(('H', 4), ('C', 5), ('D', 8), ('S', 13))","(('H', 3), ('S', 6), ('C', 9), ('S', 10))",0.0,0.0,0.0064,-0.0004,0.6153846153846154,0.6153846153846154
"(('S', 2), ('S', 3), ('H', 8), ('H', 10))","(('C', 4), ('S', 6), ('C', 6), ('D', 10))",-0.7692307692307696,0.7692307692307696,-0.7696,0.7748,0.17751479289940844,0.17751479289940844
"(('D', 3), ('H', 6), ('D', 8), ('D', 9))","(('H', 3), ('C', 4), ('S', 9), ('D', 14))",0.0,0.0,-0.0035,-0.0065,0.3076923076923076,0.3076923076923076
"(('C', 9), ('S', 10), ('D', 14), ('S', 14))","(('S', 2), ('C', 5), ('S', 8), ('H', 13))",0.6923076923076925,-0.6923076923076925,0.6856,-0.6972,0.21301775147928978,0.21301775147928978
"(('H', 9), ('D', 9), ('C', 10), ('D', 10))","(('S', 2), ('H', 4), ('S', 6), ('S', 13))",1.0000000000000009,-1.0000000000000009,1.0,-1.0,7.888609052210125e-31,7.888609052210125e-31
"(('S', 2), ('H', 4), ('H', 5), ('D', 6))","(('S', 4), ('S', 9), ('S', 12), ('D', 13))",0.07692307692307694,-0.07692307692307694,0.0835,-0.0707,0.5325443786982249,0.5325443786982249
"(('H', 2), ('C', 3), ('D', 10), ('D', 13))","(('H', 3), ('S', 3), ('S', 8), ('D', 8))",-1.0000000000000009,1.0000000000000009,-1.0,1.0,7.888609052210125e-31,7.888609052210125e-31
"(('C', 2), ('S', 5), ('H', 12), ('C', 14))","(('H', 2), ('C', 7), ('H', 9), ('D', 11))",0.0,0.0,0.003,0.0051,0.46153846153846134,0.46153846153846134
"(('C', 3), ('D', 11), ('C', 11), ('H', 14))","(('H', 4), ('C', 6), ('D', 12), ('C', 14))",0.7692307692307696,-0.7692307692307696,0.7667,-0.7662,0.17751479289940839,0.17751479289940839
"(('C', 3), ('D', 9), ('C', 12), ('S', 13))","(('S', 2), ('H', 8), ('H', 11), ('C', 13))",0.0,0.0,-0.0072,-0.0048,0.46153846153846134,0.46153846153846134
"(('C', 2), ('D', 12), ('S', 12), ('C', 13))","(('C', 4), ('D', 7), ('C', 8), ('H', 10))",0.6923076923076925,-0.6923076923076925,0.6941,-0.6906,0.21301775147928978,0.21301775147928978
